from_id,to_id,tie_strength,physical_proximity,kinship_relation,sharing_history,kinship_encoded
H1,H708,0.75,0.21666666666666667,other,2,1.0
H2,H566,0.8999999999999999,0.7041666666666667,cousin,1,2.0
H2,H177,0.8833333333333333,0.21249999999999997,other,1,1.0
H2,H802,0.7833333333333332,0.12916666666666665,other,0,1.0
H3,H183,0.7,0.4208333333333334,sibling,1,3.0
H4,H623,0.7,0.5041666666666668,sibling,2,3.0
H4,H100,0.48333333333333317,0.7583333333333334,other,0,1.0
H4,H203,0.6500000000000001,0.32916666666666666,neighbor,0,
H4,H744,0.8500000000000001,0.2458333333333333,neighbor,0,
H5,H144,0.9166666666666665,0.7083333333333334,neighbor,2,
H5,H173,0.8,0.8750000000000001,cousin,0,2.0
H5,H322,0.5,0.7041666666666667,other,2,1.0
H6,H871,0.7833333333333332,0.7708333333333334,cousin,1,2.0
H6,H983,0.33333333333333326,0.44166666666666665,sibling,0,3.0
H7,H347,0.2666666666666667,0.10833333333333332,neighbor,2,
H7,H864,0.33333333333333326,0.15833333333333333,neighbor,2,
H7,H74,0.016666666666666607,0.8375,cousin,2,2.0
H8,H108,0.6333333333333333,0.6166666666666668,other,1,1.0
H8,H175,0.6166666666666667,0.5250000000000001,other,1,1.0
H8,H599,1.0,0.4708333333333334,cousin,2,2.0
H9,H677,0.44999999999999996,0.4666666666666666,neighbor,1,
H9,H128,0.5,0.5250000000000001,cousin,1,2.0
H9,H29,0.6333333333333333,0.75,other,0,1.0
H9,H605,0.7333333333333332,0.49166666666666664,neighbor,2,
H10,H377,0.8166666666666667,0.7416666666666667,neighbor,2,
H10,H275,0.8,0.9125000000000001,other,1,1.0
H10,H768,0.5166666666666666,0.45416666666666666,cousin,0,2.0
H10,H104,0.29999999999999993,0.30416666666666664,cousin,1,2.0
H11,H713,0.9833333333333334,0.2625,sibling,0,3.0
H11,H186,0.016666666666666607,0.9375000000000001,sibling,2,3.0
H12,H478,0.5333333333333332,0.26666666666666666,other,1,1.0
H12,H384,0.4666666666666668,0.7208333333333334,neighbor,0,
H13,H196,0.8333333333333333,0.65,cousin,1,2.0
H13,H288,0.5833333333333333,0.1916666666666667,cousin,2,2.0
H13,H825,0.41666666666666674,0.3375,cousin,0,2.0
H13,H198,0.5666666666666667,0.7875000000000001,neighbor,2,
H14,H603,0.9166666666666665,0.7250000000000001,cousin,1,2.0
H14,H713,0.06666666666666665,0.975,other,0,1.0
H15,H790,0.41666666666666674,0.9958333333333335,sibling,0,3.0
H15,H170,0.1499999999999999,0.16249999999999998,other,2,1.0
H16,H137,0.21666666666666667,0.05,neighbor,2,
H16,H193,0.7666666666666666,0.44166666666666665,neighbor,2,
H17,H951,0.55,0.6083333333333334,cousin,0,2.0
H17,H613,0.6000000000000001,0.8083333333333335,neighbor,1,
H17,H535,0.8333333333333333,0.44999999999999996,sibling,0,3.0
H17,H6,0.2833333333333332,0.9041666666666668,sibling,0,3.0
H18,H784,0.04999999999999993,0.65,cousin,2,2.0
H19,H445,0.6833333333333333,0.2916666666666667,neighbor,0,
H19,H816,0.18333333333333335,0.2458333333333333,cousin,0,2.0
H19,H56,0.34999999999999987,0.1916666666666667,neighbor,1,
H19,H736,0.9833333333333334,0.5708333333333334,sibling,0,3.0
H20,H213,0.3666666666666667,0.7125000000000001,cousin,2,2.0
H20,H924,0.16666666666666663,0.5958333333333334,neighbor,0,
H20,H913,0.8166666666666667,0.5791666666666667,sibling,2,3.0
H21,H92,0.6000000000000001,0.15000000000000002,neighbor,1,
H21,H36,0.34999999999999987,0.18333333333333335,sibling,0,3.0
H22,H631,0.016666666666666607,0.5000000000000001,cousin,1,2.0
H22,H820,1.0,0.3875,neighbor,1,
H22,H718,0.7166666666666666,0.7541666666666667,cousin,1,2.0
H23,H266,0.7166666666666666,0.5958333333333334,other,0,1.0
H24,H995,0.9166666666666665,0.09166666666666666,cousin,0,2.0
H24,H36,0.29999999999999993,0.9291666666666668,other,0,1.0
H24,H135,0.1499999999999999,0.20833333333333331,neighbor,1,
H25,H730,0.3999999999999999,0.004166666666666666,neighbor,0,
H25,H538,0.09999999999999998,0.9875000000000002,sibling,1,3.0
H25,H387,0.43333333333333335,0.12916666666666665,sibling,1,3.0
H26,H522,0.08333333333333326,0.30416666666666664,sibling,0,3.0
H26,H976,0.7166666666666666,0.4791666666666667,other,0,1.0
H26,H958,0.43333333333333335,0.675,sibling,2,3.0
H27,H398,0.2333333333333334,0.024999999999999994,neighbor,2,
H27,H226,0.2666666666666667,0.20833333333333331,cousin,2,2.0
H27,H202,0.41666666666666674,0.0,other,1,1.0
H27,H534,0.7166666666666666,0.3083333333333333,other,2,1.0
H28,H278,0.9333333333333333,0.43749999999999994,cousin,2,2.0
H28,H631,0.6666666666666667,0.26666666666666666,other,2,1.0
H28,H473,0.6166666666666667,0.033333333333333326,other,1,1.0
H28,H700,0.06666666666666665,0.7291666666666667,neighbor,2,
H29,H292,0.5666666666666667,0.8458333333333333,sibling,1,3.0
H29,H857,0.9666666666666666,0.9166666666666666,cousin,2,2.0
H30,H566,0.06666666666666665,0.8791666666666668,cousin,1,2.0
